run_id,domain,variant,protocol,repeat,attempt_index,atom,predicate,arguments,passed,physical_evidence,failure_classification
kitchen__F1_HIDDEN_COFFEE_VESSEL__fixed_full_inspection__r03,kitchen,F1_HIDDEN_COFFEE_VESSEL,fixed_full_inspection,3,0,(contains cup_1_1 coffee),contains,cup_1_1; coffee,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__F1_HIDDEN_COFFEE_VESSEL__fixed_full_inspection__r03,kitchen,F1_HIDDEN_COFFEE_VESSEL,fixed_full_inspection,3,0,(contains cup_2_1 coffee),contains,cup_2_1; coffee,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__F2_HIDDEN_SOUP_BOWL__fixed_full_inspection__r00,kitchen,F2_HIDDEN_SOUP_BOWL,fixed_full_inspection,0,0,(contains soup_bowl_1_1 soup),contains,soup_bowl_1_1; soup,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__F2_HIDDEN_SOUP_BOWL__fixed_full_inspection__r00,kitchen,F2_HIDDEN_SOUP_BOWL,fixed_full_inspection,0,0,(contains soup_bowl_2_1 soup),contains,soup_bowl_2_1; soup,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__F5_FULL_DISTRIBUTED_SEARCH__fixed_full_inspection__r00,kitchen,F5_FULL_DISTRIBUTED_SEARCH,fixed_full_inspection,0,0,(contains cup_1_1 coffee),contains,cup_1_1; coffee,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__F5_FULL_DISTRIBUTED_SEARCH__fixed_full_inspection__r00,kitchen,F5_FULL_DISTRIBUTED_SEARCH,fixed_full_inspection,0,0,(contains cup_2_1 coffee),contains,cup_2_1; coffee,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__F5_FULL_DISTRIBUTED_SEARCH__fixed_full_inspection__r00,kitchen,F5_FULL_DISTRIBUTED_SEARCH,fixed_full_inspection,0,0,(contains soup_bowl_1_1 coffee),contains,soup_bowl_1_1; coffee,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__F5_FULL_DISTRIBUTED_SEARCH__fixed_full_inspection__r00,kitchen,F5_FULL_DISTRIBUTED_SEARCH,fixed_full_inspection,0,0,(contains soup_bowl_1_1 soup),contains,soup_bowl_1_1; soup,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__F5_FULL_DISTRIBUTED_SEARCH__fixed_full_inspection__r00,kitchen,F5_FULL_DISTRIBUTED_SEARCH,fixed_full_inspection,0,0,(contains soup_bowl_2_1 coffee),contains,soup_bowl_2_1; coffee,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__F5_FULL_DISTRIBUTED_SEARCH__fixed_full_inspection__r00,kitchen,F5_FULL_DISTRIBUTED_SEARCH,fixed_full_inspection,0,0,(contains soup_bowl_2_1 soup),contains,soup_bowl_2_1; soup,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__F5_FULL_DISTRIBUTED_SEARCH__fixed_full_inspection__r01,kitchen,F5_FULL_DISTRIBUTED_SEARCH,fixed_full_inspection,1,0,(contains cup_1_1 coffee),contains,cup_1_1; coffee,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__F5_FULL_DISTRIBUTED_SEARCH__fixed_full_inspection__r01,kitchen,F5_FULL_DISTRIBUTED_SEARCH,fixed_full_inspection,1,0,(contains cup_2_1 coffee),contains,cup_2_1; coffee,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__F5_FULL_DISTRIBUTED_SEARCH__fixed_full_inspection__r01,kitchen,F5_FULL_DISTRIBUTED_SEARCH,fixed_full_inspection,1,0,(contains soup_bowl_1_1 coffee),contains,soup_bowl_1_1; coffee,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__F5_FULL_DISTRIBUTED_SEARCH__fixed_full_inspection__r01,kitchen,F5_FULL_DISTRIBUTED_SEARCH,fixed_full_inspection,1,0,(contains soup_bowl_1_1 soup),contains,soup_bowl_1_1; soup,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__F5_FULL_DISTRIBUTED_SEARCH__fixed_full_inspection__r01,kitchen,F5_FULL_DISTRIBUTED_SEARCH,fixed_full_inspection,1,0,(contains soup_bowl_2_1 coffee),contains,soup_bowl_2_1; coffee,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__F5_FULL_DISTRIBUTED_SEARCH__fixed_full_inspection__r01,kitchen,F5_FULL_DISTRIBUTED_SEARCH,fixed_full_inspection,1,0,(contains soup_bowl_2_1 soup),contains,soup_bowl_2_1; soup,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__F5_FULL_DISTRIBUTED_SEARCH__fixed_full_inspection__r04,kitchen,F5_FULL_DISTRIBUTED_SEARCH,fixed_full_inspection,4,0,(contains cup_1_1 coffee),contains,cup_1_1; coffee,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__F5_FULL_DISTRIBUTED_SEARCH__fixed_full_inspection__r04,kitchen,F5_FULL_DISTRIBUTED_SEARCH,fixed_full_inspection,4,0,(contains cup_2_1 coffee),contains,cup_2_1; coffee,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__F5_FULL_DISTRIBUTED_SEARCH__fixed_full_inspection__r04,kitchen,F5_FULL_DISTRIBUTED_SEARCH,fixed_full_inspection,4,0,(contains soup_bowl_1_1 coffee),contains,soup_bowl_1_1; coffee,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__F5_FULL_DISTRIBUTED_SEARCH__fixed_full_inspection__r04,kitchen,F5_FULL_DISTRIBUTED_SEARCH,fixed_full_inspection,4,0,(contains soup_bowl_1_1 soup),contains,soup_bowl_1_1; soup,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__F5_FULL_DISTRIBUTED_SEARCH__fixed_full_inspection__r04,kitchen,F5_FULL_DISTRIBUTED_SEARCH,fixed_full_inspection,4,0,(contains soup_bowl_2_1 coffee),contains,soup_bowl_2_1; coffee,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__F5_FULL_DISTRIBUTED_SEARCH__fixed_full_inspection__r04,kitchen,F5_FULL_DISTRIBUTED_SEARCH,fixed_full_inspection,4,0,(contains soup_bowl_2_1 soup),contains,soup_bowl_2_1; soup,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__I3_MISSING_SOUP_UTENSIL__fixed_full_inspection__r00,kitchen,I3_MISSING_SOUP_UTENSIL,fixed_full_inspection,0,0,(stirred soup_bowl_1_1),stirred,soup_bowl_1_1,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__I3_MISSING_SOUP_UTENSIL__fixed_full_inspection__r00,kitchen,I3_MISSING_SOUP_UTENSIL,fixed_full_inspection,0,0,(stirred soup_bowl_2_1),stirred,soup_bowl_2_1,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__I5_MISSING_COFFEE_JAR__fixed_full_inspection__r01,kitchen,I5_MISSING_COFFEE_JAR,fixed_full_inspection,1,0,(contains cup_1_1 coffee),contains,cup_1_1; coffee,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
kitchen__I5_MISSING_COFFEE_JAR__fixed_full_inspection__r01,kitchen,I5_MISSING_COFFEE_JAR,fixed_full_inspection,1,0,(contains cup_2_1 coffee),contains,cup_2_1; coffee,False,"{""verified_effects"": []}",EMPTY_PLAN_HALLUCINATED_INIT
living_room__I2_NO_PERSONAL_TABLES__initial_observation_only__r03,living_room,I2_NO_PERSONAL_TABLES,initial_observation_only,3,0,(at remote_1 shared_table),at,remote_1; shared_table,False,"{""contained"": false, ""inserted"": false, ""object"": ""remote_1"", ""support"": null}",EMPTY_PLAN_HALLUCINATED_INIT
living_room__I3_NO_TABLES__fixed_full_inspection__r00,living_room,I3_NO_TABLES,fixed_full_inspection,0,0,(at cup_1 staging),at,cup_1; staging,False,"{""contained"": false, ""inserted"": false, ""object"": ""cup_1"", ""support"": null}",EMPTY_PLAN_HALLUCINATED_INIT
living_room__I3_NO_TABLES__fixed_full_inspection__r00,living_room,I3_NO_TABLES,fixed_full_inspection,0,0,(at cup_2 staging),at,cup_2; staging,False,"{""contained"": false, ""inserted"": false, ""object"": ""cup_2"", ""support"": null}",EMPTY_PLAN_HALLUCINATED_INIT
living_room__I3_NO_TABLES__fixed_full_inspection__r00,living_room,I3_NO_TABLES,fixed_full_inspection,0,0,(at remote_1 staging),at,remote_1; staging,False,"{""contained"": false, ""inserted"": false, ""object"": ""remote_1"", ""support"": null}",EMPTY_PLAN_HALLUCINATED_INIT
living_room__I3_NO_TABLES__fixed_full_inspection__r00,living_room,I3_NO_TABLES,fixed_full_inspection,0,0,(at saucer_1 staging),at,saucer_1; staging,False,"{""contained"": false, ""inserted"": false, ""object"": ""saucer_1"", ""support"": null}",EMPTY_PLAN_HALLUCINATED_INIT
living_room__I3_NO_TABLES__fixed_full_inspection__r00,living_room,I3_NO_TABLES,fixed_full_inspection,0,0,(at saucer_2 staging),at,saucer_2; staging,False,"{""contained"": false, ""inserted"": false, ""object"": ""saucer_2"", ""support"": null}",EMPTY_PLAN_HALLUCINATED_INIT
living_room__I3_NO_TABLES__fixed_full_inspection__r01,living_room,I3_NO_TABLES,fixed_full_inspection,1,0,(at cup_1 staging),at,cup_1; staging,False,"{""contained"": false, ""inserted"": false, ""object"": ""cup_1"", ""support"": null}",EMPTY_PLAN_HALLUCINATED_INIT
