run_id,domain,variant,protocol,repeat,ground_truth_feasible,raw_predicted_infeasible,terminal_causal_failure,cp_terminal_kind,cp_terminal_stage,summary
kitchen__F0_ALL_VISIBLE__initial_observation_only__r00,kitchen,F0_ALL_VISIBLE,initial_observation_only,0,True,True,UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
kitchen__F1_HIDDEN_COFFEE_VESSEL__initial_observation_only__r00,kitchen,F1_HIDDEN_COFFEE_VESSEL,initial_observation_only,0,True,True,UNRESOLVED_REFINEMENT_FAILURE,REFINEMENT,IK,no grasp candidate satisfies the IK tolerances
kitchen__F2_HIDDEN_SOUP_BOWL__initial_observation_only__r00,kitchen,F2_HIDDEN_SOUP_BOWL,initial_observation_only,0,True,True,UNRESOLVED_IDENTITY_FAILURE,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
kitchen__F3_HIDDEN_VESSELS_MIXED__initial_observation_only__r00,kitchen,F3_HIDDEN_VESSELS_MIXED,initial_observation_only,0,True,True,SYMBOLIC_NO_PLAN_AFTER_BOUNDED_CP,NO_PLAN,NO_PLAN,Fast Downward search exited with 12
kitchen__F4_TOOLS_IN_DRAWERS__initial_observation_only__r00,kitchen,F4_TOOLS_IN_DRAWERS,initial_observation_only,0,True,True,UNRESOLVED_IDENTITY_FAILURE,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
kitchen__F5_FULL_DISTRIBUTED_SEARCH__initial_observation_only__r00,kitchen,F5_FULL_DISTRIBUTED_SEARCH,initial_observation_only,0,True,True,UNRESOLVED_UNREACHABLE_CORRECTED_GOAL,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
kitchen__I0_MISSING_COFFEE_VESSEL__initial_observation_only__r00,kitchen,I0_MISSING_COFFEE_VESSEL,initial_observation_only,0,False,True,UNRESOLVED_INVALID_CORRECTIVE_SELECTION,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
kitchen__I1_MISSING_SOUP_BOWL__initial_observation_only__r00,kitchen,I1_MISSING_SOUP_BOWL,initial_observation_only,0,False,True,UNRESOLVED_INVALID_CORRECTIVE_SELECTION,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
kitchen__I2_MISSING_COFFEE_SPOON__initial_observation_only__r00,kitchen,I2_MISSING_COFFEE_SPOON,initial_observation_only,0,False,True,SYMBOLIC_NO_PLAN_AFTER_BOUNDED_CP,NO_PLAN,NO_PLAN,Fast Downward search exited with 12
kitchen__I3_MISSING_SOUP_UTENSIL__initial_observation_only__r00,kitchen,I3_MISSING_SOUP_UTENSIL,initial_observation_only,0,False,True,UNRESOLVED_INCONSISTENT_CORRECTIVE_FACT_SET,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
kitchen__I4_MISSING_KETTLE__initial_observation_only__r00,kitchen,I4_MISSING_KETTLE,initial_observation_only,0,False,True,UNRESOLVED_INCONSISTENT_CORRECTIVE_FACT_SET,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
kitchen__I5_MISSING_COFFEE_JAR__initial_observation_only__r00,kitchen,I5_MISSING_COFFEE_JAR,initial_observation_only,0,False,True,UNRESOLVED_INCONSISTENT_CORRECTIVE_FACT_SET,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
