run_id,domain,variant,protocol,repeat,ground_truth_feasible,raw_predicted_infeasible,terminal_causal_failure,cp_terminal_kind,cp_terminal_stage,summary
kitchen__F0_ALL_VISIBLE__initial_observation_only__r00,kitchen,F0_ALL_VISIBLE,initial_observation_only,0,True,True,UNRESOLVED_REFINEMENT_FAILURE,REFINEMENT,COLLISION,environment collision google:link_finger_tip_left [unnamed robot geom] / ab3_deep_bowl [ab3_deep_bowl_wall_4] (-0.5 cm signed distance)
kitchen__F0_ALL_VISIBLE__initial_observation_only__r01,kitchen,F0_ALL_VISIBLE,initial_observation_only,1,True,True,UNRESOLVED_REFINEMENT_FAILURE,REFINEMENT,COLLISION,environment collision google:link_finger_tip_left [unnamed robot geom] / ab3_deep_bowl [ab3_deep_bowl_wall_4] (-0.5 cm signed distance)
kitchen__F0_ALL_VISIBLE__initial_observation_only__r02,kitchen,F0_ALL_VISIBLE,initial_observation_only,2,True,True,UNRESOLVED_REFINEMENT_FAILURE,REFINEMENT,COLLISION,environment collision google:link_finger_tip_left [unnamed robot geom] / ab3_deep_bowl [ab3_deep_bowl_wall_4] (-0.5 cm signed distance)
kitchen__F0_ALL_VISIBLE__initial_observation_only__r03,kitchen,F0_ALL_VISIBLE,initial_observation_only,3,True,True,UNRESOLVED_REFINEMENT_FAILURE,REFINEMENT,COLLISION,environment collision google:link_finger_tip_left [unnamed robot geom] / ab3_deep_bowl [ab3_deep_bowl_wall_4] (-0.5 cm signed distance)
kitchen__F0_ALL_VISIBLE__initial_observation_only__r04,kitchen,F0_ALL_VISIBLE,initial_observation_only,4,True,True,UNRESOLVED_REFINEMENT_FAILURE,REFINEMENT,COLLISION,environment collision google:link_finger_tip_left [unnamed robot geom] / ab3_deep_bowl [ab3_deep_bowl_wall_4] (-0.5 cm signed distance)
kitchen__F1_HIDDEN_COFFEE_VESSEL__fixed_full_inspection__r01,kitchen,F1_HIDDEN_COFFEE_VESSEL,fixed_full_inspection,1,True,True,UNRESOLVED_IDENTITY_FAILURE,ENTITY_RESOLUTION,ENTITY_RESOLUTION,no class-compatible visible entity is close enough to 'coffee_pot_1'
kitchen__F1_HIDDEN_COFFEE_VESSEL__fixed_full_inspection__r02,kitchen,F1_HIDDEN_COFFEE_VESSEL,fixed_full_inspection,2,True,True,UNRESOLVED_IDENTITY_FAILURE,ENTITY_RESOLUTION,ENTITY_RESOLUTION,no class-compatible visible entity is close enough to 'coffee_pot_1'
kitchen__F1_HIDDEN_COFFEE_VESSEL__fixed_full_inspection__r04,kitchen,F1_HIDDEN_COFFEE_VESSEL,fixed_full_inspection,4,True,True,UNRESOLVED_INVALID_CORRECTION,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
kitchen__F1_HIDDEN_COFFEE_VESSEL__initial_observation_only__r00,kitchen,F1_HIDDEN_COFFEE_VESSEL,initial_observation_only,0,True,True,UNRESOLVED_REFINEMENT_FAILURE,REFINEMENT,IK,no grasp candidate satisfies the IK tolerances
kitchen__F1_HIDDEN_COFFEE_VESSEL__initial_observation_only__r01,kitchen,F1_HIDDEN_COFFEE_VESSEL,initial_observation_only,1,True,True,UNRESOLVED_REFINEMENT_FAILURE,REFINEMENT,IK,no grasp candidate satisfies the IK tolerances
kitchen__F1_HIDDEN_COFFEE_VESSEL__initial_observation_only__r02,kitchen,F1_HIDDEN_COFFEE_VESSEL,initial_observation_only,2,True,True,UNRESOLVED_REFINEMENT_FAILURE,REFINEMENT,IK,no grasp candidate satisfies the IK tolerances
kitchen__F1_HIDDEN_COFFEE_VESSEL__initial_observation_only__r03,kitchen,F1_HIDDEN_COFFEE_VESSEL,initial_observation_only,3,True,True,UNRESOLVED_REFINEMENT_FAILURE,REFINEMENT,IK,no grasp candidate satisfies the IK tolerances
kitchen__F1_HIDDEN_COFFEE_VESSEL__initial_observation_only__r04,kitchen,F1_HIDDEN_COFFEE_VESSEL,initial_observation_only,4,True,True,UNRESOLVED_REFINEMENT_FAILURE,REFINEMENT,IK,no grasp candidate satisfies the IK tolerances
kitchen__F2_HIDDEN_SOUP_BOWL__fixed_full_inspection__r01,kitchen,F2_HIDDEN_SOUP_BOWL,fixed_full_inspection,1,True,True,UNRESOLVED_IDENTITY_FAILURE,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem
