run_id,domain,variant,observation_protocol,repeat_index,seed,source_commit,raw_terminal_status,infrastructure_failure,causal_category,cp_terminal_kind,cp_terminal_stage,cp_terminal_summary,observation_success,object_estimation_success,initial_state_success,goal_state_success,pddl_valid,fd_invoked,symbolic_plan_found,symbolic_plan_nonempty,val_plan_valid,identity_attempted,identity_success,refinement_attempted,refinement_success,execution_projection_available,execution_attempted,execution_success,generated_goal_evaluated,hidden_benchmark_evaluated,first_plan_attempt_index,first_nonempty_plan_attempt_index,number_of_symbolic_plans_generated,number_of_nonempty_symbolic_plans,number_of_val_valid_plans,best_symbolic_plan_length,final_selected_plan_length,actual_task_success,ground_truth_feasible,raw_predicted_infeasible,generated_goal_satisfied,generated_goal_atoms_passed,generated_goal_atoms_total,generated_goal_atom_coverage,benchmark_requirements_passed,benchmark_requirements_total,benchmark_requirement_coverage,fm_calls,object_calls,init_calls,goal_calls,cp_calls,inspections,controller_actions,end_to_end_seconds,fm_latency_seconds,symbolic_planning_seconds,refinement_seconds,execution_seconds
kitchen__F0_ALL_VISIBLE__fixed_full_inspection__r00,kitchen,F0_ALL_VISIBLE,fixed_full_inspection,0,240005,4532495142b7a365d8bdba43f1776ab798818a28,FM_OBJECT_FAILURE,False,UNRESOLVED_FM_FAILURE,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0,0,0,,,False,,,,0,0,,0,0,,,0,0,0,0,0,0,114.764387,,,,
kitchen__F0_ALL_VISIBLE__fixed_full_inspection__r01,kitchen,F0_ALL_VISIBLE,fixed_full_inspection,1,240006,4532495142b7a365d8bdba43f1776ab798818a28,FM_OBJECT_FAILURE,False,UNRESOLVED_FM_FAILURE,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0,0,0,,,False,,,,0,0,,0,0,,,0,0,0,0,0,0,210.243659,,,,
kitchen__F0_ALL_VISIBLE__fixed_full_inspection__r02,kitchen,F0_ALL_VISIBLE,fixed_full_inspection,2,240007,4532495142b7a365d8bdba43f1776ab798818a28,FM_OBJECT_FAILURE,False,UNRESOLVED_FM_FAILURE,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0,0,0,,,False,,,,0,0,,0,0,,,0,0,0,0,0,0,113.913637,,,,
kitchen__F0_ALL_VISIBLE__fixed_full_inspection__r03,kitchen,F0_ALL_VISIBLE,fixed_full_inspection,3,240008,4532495142b7a365d8bdba43f1776ab798818a28,FM_OBJECT_FAILURE,False,UNRESOLVED_FM_FAILURE,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0,0,0,,,False,,,,0,0,,0,0,,,0,0,0,0,0,0,129.560778,,,,
kitchen__F0_ALL_VISIBLE__fixed_full_inspection__r04,kitchen,F0_ALL_VISIBLE,fixed_full_inspection,4,240009,4532495142b7a365d8bdba43f1776ab798818a28,FM_OBJECT_FAILURE,False,UNRESOLVED_FM_FAILURE,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0,0,0,,,False,,,,0,0,,0,0,,,0,0,0,0,0,0,104.67258,,,,
kitchen__F0_ALL_VISIBLE__initial_observation_only__r00,kitchen,F0_ALL_VISIBLE,initial_observation_only,0,240000,4532495142b7a365d8bdba43f1776ab798818a28,REFINEMENT_FAILURE,False,UNRESOLVED_REFINEMENT_FAILURE,REFINEMENT,COLLISION,environment collision google:link_finger_tip_left [unnamed robot geom] / ab3_deep_bowl [ab3_deep_bowl_wall_4] (-0.5 cm signed distance),True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,0,0,2,2,2,2,,False,True,True,,0,0,,4,8,0.5,8,1,2,2,3,0,0,101.56797721100156,46.81279596398235,0.1275680449907668,,0.0
kitchen__F0_ALL_VISIBLE__initial_observation_only__r01,kitchen,F0_ALL_VISIBLE,initial_observation_only,1,240001,4532495142b7a365d8bdba43f1776ab798818a28,REFINEMENT_FAILURE,False,UNRESOLVED_REFINEMENT_FAILURE,REFINEMENT,COLLISION,environment collision google:link_finger_tip_left [unnamed robot geom] / ab3_deep_bowl [ab3_deep_bowl_wall_4] (-0.5 cm signed distance),True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,0,0,2,2,2,2,,False,True,True,,0,0,,4,8,0.5,8,1,2,2,3,0,0,124.50894605499343,70.58981852603029,0.12486859899945557,,0.0
kitchen__F0_ALL_VISIBLE__initial_observation_only__r02,kitchen,F0_ALL_VISIBLE,initial_observation_only,2,240002,4532495142b7a365d8bdba43f1776ab798818a28,REFINEMENT_FAILURE,False,UNRESOLVED_REFINEMENT_FAILURE,REFINEMENT,COLLISION,environment collision google:link_finger_tip_left [unnamed robot geom] / ab3_deep_bowl [ab3_deep_bowl_wall_4] (-0.5 cm signed distance),True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,0,0,2,2,2,2,,False,True,True,,0,0,,4,8,0.5,8,1,2,2,3,0,0,96.52128693799023,43.018389902979834,0.1700946110067889,,0.0
kitchen__F0_ALL_VISIBLE__initial_observation_only__r03,kitchen,F0_ALL_VISIBLE,initial_observation_only,3,240003,4532495142b7a365d8bdba43f1776ab798818a28,REFINEMENT_FAILURE,False,UNRESOLVED_REFINEMENT_FAILURE,REFINEMENT,COLLISION,environment collision google:link_finger_tip_left [unnamed robot geom] / ab3_deep_bowl [ab3_deep_bowl_wall_4] (-0.5 cm signed distance),True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,0,0,2,2,2,2,,False,True,True,,0,0,,4,8,0.5,8,1,2,2,3,0,0,98.0861974650179,42.89616067800671,0.12494703699485399,,0.0
kitchen__F0_ALL_VISIBLE__initial_observation_only__r04,kitchen,F0_ALL_VISIBLE,initial_observation_only,4,240004,4532495142b7a365d8bdba43f1776ab798818a28,REFINEMENT_FAILURE,False,UNRESOLVED_REFINEMENT_FAILURE,REFINEMENT,COLLISION,environment collision google:link_finger_tip_left [unnamed robot geom] / ab3_deep_bowl [ab3_deep_bowl_wall_4] (-0.5 cm signed distance),True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,0,0,2,2,2,2,,False,True,True,,0,0,,4,8,0.5,8,1,2,2,3,0,0,105.87909879299696,42.90640034803073,0.16107850402477197,,0.0
kitchen__F1_HIDDEN_COFFEE_VESSEL__fixed_full_inspection__r00,kitchen,F1_HIDDEN_COFFEE_VESSEL,fixed_full_inspection,0,240015,4532495142b7a365d8bdba43f1776ab798818a28,FM_OBJECT_FAILURE,False,UNRESOLVED_FM_FAILURE,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0,0,0,,,False,,,,0,0,,0,0,,,0,0,0,0,0,0,110.084771,,,,
kitchen__F1_HIDDEN_COFFEE_VESSEL__fixed_full_inspection__r01,kitchen,F1_HIDDEN_COFFEE_VESSEL,fixed_full_inspection,1,240016,4532495142b7a365d8bdba43f1776ab798818a28,IDENTITY_FAILURE,False,UNRESOLVED_IDENTITY_FAILURE,ENTITY_RESOLUTION,ENTITY_RESOLUTION,no class-compatible visible entity is close enough to 'coffee_pot_1',True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,0,0,3,3,3,3,,False,True,True,,0,0,,4,8,0.5,7,1,1,2,3,5,0,60.89421246800339,53.14844199095387,0.16654387000016868,,0.0
kitchen__F1_HIDDEN_COFFEE_VESSEL__fixed_full_inspection__r02,kitchen,F1_HIDDEN_COFFEE_VESSEL,fixed_full_inspection,2,240017,4532495142b7a365d8bdba43f1776ab798818a28,IDENTITY_FAILURE,False,UNRESOLVED_IDENTITY_FAILURE,ENTITY_RESOLUTION,ENTITY_RESOLUTION,no class-compatible visible entity is close enough to 'coffee_pot_1',True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,True,0,0,3,3,3,3,,False,True,True,,0,0,,4,8,0.5,7,1,1,2,3,5,0,42.052945313975215,33.776178144995356,0.13350356399314478,,0.0
kitchen__F1_HIDDEN_COFFEE_VESSEL__fixed_full_inspection__r03,kitchen,F1_HIDDEN_COFFEE_VESSEL,fixed_full_inspection,3,240018,4532495142b7a365d8bdba43f1776ab798818a28,BENCHMARK_FAILURE,False,PLAN_FOUND,,,,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,0,,1,0,1,0,0,False,True,False,False,0,2,0.0,4,8,0.5,5,1,2,2,0,5,,50.398384902015096,42.194534351991024,0.13723811900126748,,0.03332666397909634
kitchen__F1_HIDDEN_COFFEE_VESSEL__fixed_full_inspection__r04,kitchen,F1_HIDDEN_COFFEE_VESSEL,fixed_full_inspection,4,240019,4532495142b7a365d8bdba43f1776ab798818a28,PREDICTED_INFEASIBLE,False,UNRESOLVED_INVALID_CORRECTION,INVALID_CORRECTION,,corrective response is not a valid replacement PDDL problem,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,,,0,0,0,,,False,True,True,,0,0,,4,8,0.5,8,1,2,2,3,5,0,99.43059538598754,91.90896663395688,,,0.0
kitchen__F1_HIDDEN_COFFEE_VESSEL__initial_observation_only__r00,kitchen,F1_HIDDEN_COFFEE_VESSEL,initial_observation_only,0,240010,4532495142b7a365d8bdba43f1776ab798818a28,REFINEMENT_FAILURE,False,UNRESOLVED_REFINEMENT_FAILURE,REFINEMENT,IK,no grasp candidate satisfies the IK tolerances,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,0,0,4,4,4,6,,False,True,True,,0,0,,4,8,0.5,8,2,1,2,3,0,0,286.1509862380044,113.58970616600709,0.15303457700065337,,0.0
kitchen__F1_HIDDEN_COFFEE_VESSEL__initial_observation_only__r01,kitchen,F1_HIDDEN_COFFEE_VESSEL,initial_observation_only,1,240011,4532495142b7a365d8bdba43f1776ab798818a28,REFINEMENT_FAILURE,False,UNRESOLVED_REFINEMENT_FAILURE,REFINEMENT,IK,no grasp candidate satisfies the IK tolerances,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,False,True,0,0,4,4,4,6,,False,True,True,,0,0,,4,8,0.5,8,2,1,2,3,0,0,222.46874391799793,48.27398992097005,0.127000993990805,,0.0
